pole,Treatment,Epiphytes,Gammarids,Caprellids,Macroalgae,Seagrassdens
1,0,-1.685106501,5.247024072,3.091042453,2.171382415,0.518019684
2,1,0.581150826,2.63905733,1.098612289,1.573354672,0.558014507
3,0,-0.23181082,2.708050201,1.609437912,0.475177721,0.596360912
4,0,-0.875697091,4.762173935,2.890371758,2.242665223,0.873216202
5,0,-0.839038823,3.610917913,1.098612289,1.00E-04,1.034855684
6,1,0.706866127,1.098612289,0.693147181,1.196706468,0.736254562
7,1,0.824071056,0.693147181,0,0.001399021,1.269479607
8,0,-0.834888378,2.944438979,2.397895273,0.166615527,0.582383204
9,0,-1.398634938,2.833213344,1.386294361,0.124339274,0.328728042
10,0,-0.796004986,1.609437912,0,0,0.065600457
11,1,-0.475430663,1.609437912,0,0.007868958,0.742318225
12,1,0.11308854,1.386294361,0,0.135229949,0.752594639
13,1,0.298637434,1.098612289,0,0.007372754,0.914649386
14,0,-1.240073932,1.945910149,1.098612289,0,0.722900139
15,0,-0.342749404,2.833213344,0,0,0.829075698
16,1,-0.19623557,1.098612289,0,0.321503621,0.734768855
17,1,0.895306674,0,0,0.00608147,0.653886467
18,0,-0.601829186,2.302585093,0.693147181,0.004888034,0.77707464
19,0,-0.080925324,2.890371758,0,0,0.701710411
20,0,-0.615225508,3.583518938,0.693147181,0,0.828158727
21,0,-0.349206125,5.33753808,0.693147181,0.757341893,0.852285402
22,0,0.11228207,2.772588722,0,0.098849364,1.027581628
23,1,0.630793346,0.693147181,0.693147181,0.016758784,0.755041584
24,1,0.685232608,0,0,0.29684001,0.696042984
25,0,-1.067179938,3.871201011,1.791759469,0.080657903,1.01808891
26,0,-1.096032734,3.610917913,2.397895273,0.110825555,0.970286372
27,0,-0.807731404,4.770684624,3.135494216,1.024068324,1.379773144
28,0,-0.262963774,3.465735903,1.791759469,0.035849653,0.811285709
29,0,-1.167053108,3.663561646,2.397895273,0.470503504,0.555033878
30,1,0.222204222,1.386294361,0,0,0.925369396
31,1,0.62328293,0.693147181,0.693147181,0,0.951542039
32,0,0.34890111,3.761200116,0.693147181,0.024692613,1.471646028
33,0,-0.797783772,2.564949357,1.098612289,0.006776984,1.209765991
34,1,0.386275379,1.098612289,0.693147181,0,1.007227727
35,1,0.850874499,0.693147181,1.791759469,0.008860628,1.008213362
36,0,-0.122517632,1.609437912,2.302585093,0.016463726,1.133786364
37,1,-0.7148485,1.609437912,1.386294361,0,0.671259381
38,1,0.078940984,1.098612289,1.386294361,0.019704583,1.041477404
39,0,-0.608252873,2.708050201,0.693147181,0,0.698184472
40,0,-0.319316336,2.63905733,1.386294361,0,0.781203844
